,published_date,title,publisher,kode_emitten,title_en
13,2019-02-19,Bank BRI bidik penyaluran kredit ke BUMN tumbuh hingga 6% di tahun 2019,Kontan,BBRI,BRI Bank aims to grow credit distribution to BUMN by up to 6% in 2019
14,2019-02-24,BRI Agro luncurkan aplikasi pinjaman bank berbasis digital,Kontan,BBRI,BRI Agro launches digital-based bank loan application
15,2019-02-28,Berita Bri Hari Ini Terkini dan Terlengkap,Bisnis,BBRI,Today's Bri News is the Latest and Most Complete
16,2019-03-23,Bank BRI Sabet 2 Penghargaan Bergengsi dari The Asian Banker,Bisnis,BBRI,BRI Bank Wins 2 Prestigious Awards from The Asian Banker
17,2019-03-27,Ini penjelasan BRI soal pinjaman US$ 700 juta,Kontan,BBRI,This is BRI's explanation regarding the US$ 700 million loan
18,2019-04-10,Ini Keuntungan Jadi Perusahaan Terbuka menurut BRI (BBRI),Bisnis,BBRI,These are the advantages of being a public company according to BRI (BBRI)
19,2019-04-11,BRI Jual Uang Elektronik Brizzi Edisi Komik Tahilalats di Tokopedia,Bisnis,BBRI,BRI Sells Brizzi Electronic Money Tahilalats Comic Edition on Tokopedia
20,2019-04-25,"BCA, BRI dan Mandiri masuk jajaran sepuluh bank terbesar di Asia Tenggara",Kontan,BBRI,"BCA, BRI and Mandiri are among the ten largest banks in Southeast Asia"
21,2019-05-27,"Catat, ini jadwal operasional Bank Mandiri, BRI, BTN, dan BNI selama libur Lebaran",Kontan,BBRI,"Note, this is the operational schedule for Bank Mandiri, BRI, BTN and BNI during the Eid holiday"
22,2019-06-01,"Ini jadwal layanan operasional BCA, Bank Mandiri, BRI dan BNI saat libur Lebaran",Kontan,BBRI,"This is the operational service schedule for BCA, Bank Mandiri, BRI and BNI during the Eid holiday"
23,2019-07-02,"BRI : Hingga Mei 2019, NPL Masih Terjaga di Level 2,4%",Bisnis,BBRI,"BRI: Until May 2019, NPL is still maintained at 2.4%"
24,2019-07-11,"Kinerja membaik, saham BRI Agro (AGRO) direkomendasikan buy",Kontan,BBRI,"Performance is improving, BRI Agro (AGRO) shares are recommended to buy"
25,2019-07-11,"Saham BRI (BBRI) pecah rekor, ini kalkulasi laba para investornya",Kontan,BBRI,"BRI (BBRI) shares broke a record, this is the investor's profit calculation"
26,2019-07-11,"5 Berita Populer Finansial, Ini Pendorong Kapitalisasi Pasar BRI Terus Meroket dan Bisnis Kartu Kredit Diharapkan Lebih Ekspansif di Semester II",Bisnis,BBRI,"5 Popular Financial News, This is Driving BRI's Market Capitalization to Continue to Skyrocket and the Credit Card Business is Expected to Be More Expansive in Semester II"
27,2019-07-16,"Rupiah menguat, pendapatan komisi Bank BRI ikut meningkat",Kontan,BBRI,"The Rupiah strengthened, BRI Bank's commission income also increased"
28,2019-07-18,"Simak Penilaian Fitch terhadap Bank Mandiri, BRI, dan BNI",Kontan,BBRI,"Check out Fitch's assessment of Bank Mandiri, BRI and BNI"
29,2019-07-19,"Sebulan Terakhir, Harga Saham BBRI Turun Paling Gede Setelah BI Pangkas Suku Bunga",Kontan,BBRI,"In the last month, BBRI's share price fell the most after BI cut interest rates"
30,2019-07-23,"Berikan fasilitas buka rekening via agen BRILink, BRI berharap segera dapat restu OJK",Kontan,BBRI,"Providing account opening facilities via BRILink agents, BRI hopes that it will soon receive OJK approval"
31,2019-07-27,"Teras BRI Kapal Sukses Kucurkan Pinjaman Rp45,1 Miliar",Bisnis,BBRI,Teras BRI Kapal Successfully Disburses Loans of IDR 45.1 Billion
32,2019-07-31,"Berkat BRISPOT, kredit mikro BRI tumbuh hingga 14,5%",Kontan,BBRI,"Thanks to BRISPOT, BRI microcredit grew by 14.5%"
33,2019-08-13,"Sebulan, Transaksi Melalui EDC Bank BRI Naik 20 Persen",Bisnis,BBRI,"One month, transactions via BRI Bank's EDC rose 20 percent"
34,2019-08-14,"Siap implementasi PSAK 71, BRI tambah CKPN Rp 8 triliun",Kontan,BBRI,"Ready to implement PSAK 71, BRI added IDR 8 trillion CKPN"
35,2019-08-14,Ini Penyebab Melambatnya Pertumbuhan Laba BRI Selama Semester 1-2019,Bisnis,BBRI,This is the Cause of BRI's Slowing Profit Growth During Semester 1-2019
36,2019-08-20,"Wah, Lebih dari 35% Saham Bank BRI (BBRI) Dikuasai Investor Asing",Kontan,BBRI,"Wow, More Than 35% of BRI Bank (BBRI) Shares Are Controlled by Foreign Investors"
37,2019-08-25,"Dikelola Satkomindo Mediyasa, satelit baru BRI bisa berikan layanan kepada pihak lain",Kontan,BBRI,"Managed by Satkomindo Mediyasa, BRI's new satellite can provide services to other parties"
38,2019-08-29,Bank BRI Optimistis BRIlink Bisa Bertahan di Tengah Arus Digitalisasi,Bisnis,BBRI,BRI Bank is Optimistic that BRIlink Can Survive Amid the Flow of Digitalization
39,2019-08-30,"Akan Lengser dari Jabatan Dirut Bank BRI, Suprajarto Kuasai Hampir Sejuta Saham BBRI",Kontan,BBRI,"Suprajarto Will Step Down from the Position of Managing Director of Bank BRI, Controls Almost a Million BBRI Shares"
40,2019-09-01,"Ingin pakai internet banking BRI Syariah, simak cara registrasinya",Kontan,BBRI,Want to use BRI sharia internet banking? Check out how to register
41,2019-09-02,"Direksi BRI dirombak besar-besaran, ini alasannya",Kontan,BBRI,"BRI's board of directors has been majorly overhauled, here's the reason"
42,2019-09-02,"Dirombak besar-besaran, RUPSLB Bank BRI tunjuk Sunarso jadi dirut",Kontan,BBRI,"Under major overhaul, Bank BRI's EGMS appointed Sunarso as managing director"
43,2019-09-02,Komisaris dan Dirut BRI Buka Suara Kondisi Internal Setelah RUPSLB,Bisnis,BBRI,BRI Commissioner and Managing Director Open Up on Internal Conditions After EGMS
44,2019-09-02,Ini Struktur Lengkap Dewan Komisaris dan Direksi BRI Pasca-RUPSLB,Bisnis,BBRI,This is the complete structure of BRI's post-EGMS Board of Commissioners and Directors
45,2019-09-03,Empat Mantan Direksi Bank BRI Ini Menguasai Lebih dari 4 Juta Saham BBRI,Kontan,BBRI,These four former BRI Bank directors control more than 4 million BBRI shares
46,2019-09-03,BRI Tunjuk Corporate Secretary Baru,Bisnis,BBRI,BRI Appoints New Corporate Secretary
47,2019-09-03,"BRI rombak direksi, kursi Dirut BRI Agro kosong",Kontan,BBRI,"BRI has reshuffled its board of directors, the seat of CEO of BRI Agro is vacant"
48,2019-09-05,BRI Investigasi Hilangnya Uang Rp80 Juta di Rekening Nasabah,Bisnis,BBRI,BRI Investigates the Disappearance of IDR 80 Million in Customer Accounts
49,2019-09-05,BRI Kembalikan Dana Nasabah Korban Skimming,Bisnis,BBRI,BRI Returns Funds to Customers Victims of Skimming
50,2019-09-06,"Lagi, Skimming Makan Korban Nasabah BRI",Bisnis,BBRI,"Again, skimming eats victims of BRI customers"
51,2019-09-16,"5 Berita Populer, Air Gajah Mungkur Menyusut Bikin Kuburan Lama Muncul Lagi dan BRI Tolak Tunda Bayar Utang Duniatex Group",Bisnis,BBRI,"5 Popular News, Mungkur Elephant's Water is Decreasing, Making Old Graves Appear Again and BRI Refuses to Delay Paying Duniatex Group's Debt"
52,2019-09-30,BRI dan Pegadaian Teken Nota Kesepahaman Sinergi Bisnis,Bisnis,BBRI,BRI and pawnshop Sign Memorandum of Understanding on Business Synergy
53,2019-10-02,"Dengan Duit Rp50 Juta, Pemodal Individu Bisa Beli Obligasi BRI",Bisnis,BBRI,"With IDR 50 Million, Individual Investors Can Buy BRI Bonds"
54,2019-10-04,BRI sabet gelar bank terbaik untuk urusan CSR,Kontan,BBRI,BRI won the title of best bank for CSR matters
55,2019-10-07,"BRI-Traveloka Makin Lengket, Kali Ini Berkongsi Isi Ulang Brizzi",Bisnis,BBRI,"BRI-Traveloka is getting stickier, this time sharing Brizzi refills"
56,2019-10-10,BRI Mulai Hadirkan Layanan Laku Pandai di Sekolah,Bisnis,BBRI,BRI Starts Presenting in demand Pandai Services in Schools
57,2019-10-10,"Perluas akses keuangan bagi pelajar, agen BRILink ekspansi ke sekolah",Kontan,BBRI,"Expanding financial access for students, BRILink agents expand to schools"
58,2019-10-11,BRI dan Grab Indonesia Sediakan Shelter GrabWheels,Bisnis,BBRI,BRI and Grab Indonesia Provide GrabWheels Shelter
59,2019-10-15,"Dipangkas lagi, ini bunga deposito terbaru BCA, Bank Mandiri, BNI dan BRI",Kontan,BBRI,"Cutting it down again, this is the latest deposit interest for BCA, Bank Mandiri, BNI and BRI"
60,2019-10-22,Ini strategi bisnis BRI dan BNI di periode kedua pemerintahan Jokowi,Kontan,BBRI,This is the business strategy of BRI and BNI in the second period of the Jokowi administration
61,2019-11-10,"Pakai BRI Mobile Banking, praktis bayar kartu kredit",Kontan,BBRI,"Use BRI Mobile Banking, it's easy to pay by credit card"
62,2019-11-11,BRI Gandeng Noah untuk 'Jualan' Produknya,Bisnis,BBRI,BRI Collaborates with Noah to 'Sell' Its Products
63,2019-11-13,"Siapkan implementasi Qanun LKS, BRI Syariah tambah kantor cabang di Aceh",Kontan,BBRI,"Preparing for the implementation of Qanun LKS, BRI sharia adds branch office in Aceh"
64,2019-12-01,"HUT ke-124, BRI gelar BRIlian Run 2019 di Surabaya",Kontan,BBRI,"124th Anniversary, BRI held BRIlian Run 2019 in Surabaya"
65,2019-12-07,BRI segera Luncurkan Kartu Kredit Virtual,Bisnis,BBRI,BRI will soon launch a virtual credit card
66,2019-12-14,"Pertama di BUMN, BRI luncurkan pinjaman online",Kontan,BBRI,"First in BUMN, BRI launched online loans"
67,2019-12-18,"Saham BBRI hasilkan gain 20% setahun, ini PER dan PBV-nya",Kontan,BBRI,"BBRI shares generate a gain of 20% a year, this is the PER and PBV"
68,2019-12-27,BRI Sediakan Layanan Digital Trade Finance untuk Nasabah LPEI,Bisnis,BBRI,BRI Provides Digital Trade Finance Services for LPEI Customers
69,2020-01-03,"Bunga deposito BRI dan Bank Mandiri naik di awal 2020, cek bunga terbarunya",Kontan,BBRI,"BRI and Bank Mandiri deposit interest increased in early 2020, check the latest interest"
70,2020-01-11,Bank BRI terus mendorong penggunaan chip dalam kartu ATM,Kontan,BBRI,BRI Bank continues to encourage the use of chips in ATM cards
71,2020-01-16,Bank BRI Dukung Kelestarian Lingkungan Melalui “BRI Poin Pohon Toleransi”,Bisnis,BBRI,"Bank BRI Supports Environmental Sustainability Through ""BRI Tolerance Tree Points"""
72,2020-01-21,"Dana nasabah hilang secara misterius, ini penjelasan BRI",Kontan,BBRI,"Customer funds mysteriously disappeared, this is BRI's explanation"
73,2020-01-23,"Wow, dana pihak ketiga yang dihimpun Bank BRI tembus di atas Rp 1.000 triliun",Kontan,BBRI,"Wow, third party funds collected by BRI Bank have exceeded IDR 1,000 trillion"
74,2020-01-23,"Laba BRI (BBRI) tembus Rp 34,4 triliun di 2019, naik 6,15%",Kontan,BBRI,"BRI (BBRI) profit reached IDR 34.4 trillion in 2019, up 6.15%"
75,2020-01-30,Kolektibilitas Utang Krakatau Steel di BRI Masuk Dalam Perhatian Khusus,Bisnis,BBRI,Krakatau Steel's Debt Collectibility at BRI Under Special Attention
76,2020-02-18,Ini Susunan Komisaris dan Direksi BRI Usai RUPST,Bisnis,BBRI,This is the composition of BRI's Commissioners and Directors after the AGMS
77,2020-02-20,"Profil Dwi Ria Latifa, Komisaris Baru BRI (BBRI)",Bisnis,BBRI,"Profile of Dwi Ria Latifa, New Commissioner of BRI (BBRI)"
78,2020-02-28,Konsep BRI Kolaborasi dengan PMN & Pegadaian,Bisnis,BBRI,BRI Collaboration Concept with PMN & pawnshop
79,2020-03-04,Bikin SIM Internasional bisa bayar lewat BRI,Kontan,BBRI,Make an International SIM that you can pay for via BRI
80,2020-03-30,"5 Berita Populer Finansial, Kabar Pengumuman Bank Mandiri, BNI, & BRI Soal Keringanan Kredit dan Beli Surat Utang, Bank BCA Jaga Likuiditas",Bisnis,BBRI,"5 Popular Financial News, Announcement News from Bank Mandiri, BNI, & BRI Regarding Credit Relief and Buying Debt Securities, Bank BCA Maintains Liquidity"
81,2020-04-02,Ini Syarat Bagi Nasabah UMKM yang Mau Dapat Keringanan Kredit dari BRI,Bisnis,BBRI,These are the requirements for MSME customers who want to get credit relief from BRI
82,2020-04-09,"Sebulan anjlok hampir 30%, saham BBRI masih saja dilepas asing",Kontan,BBRI,"A month down by almost 30%, BBRI shares are still being released by foreigners"
83,2020-04-17,Catat! Begini Rincian Skema Restrukturisasi Kredit BRI,Bisnis,BBRI,Note! Here are the details of the BRI Credit Restructuring Scheme
84,2020-05-04,"Call BRI bisa diakses lewat WhatsApp, begini caranya",Kontan,BBRI,"BRI calls can be accessed via WhatsApp, here's how"
85,2020-05-04,Gagal login BRI internet banking? Segera lakukan hal berikut ini,Kontan,BBRI,Failed to log in to BRI internet banking? Immediately do the following
86,2020-05-05,"Kuartal I-2020, laba BRI Syariah tumbuh 150%",Kontan,BBRI,"In the first quarter of 2020, BRI sharia profits grew 150%"
87,2020-05-05,"Wah, Garuda Indonesia (GIAA) terima tiga jenis fasilitas pinjaman jumbo dari BBRI",Kontan,BBRI,"Wow, Garuda Indonesia (GIAA) received three types of huge loan facilities from BBRI"
88,2020-05-15,Bank BRI kembalikan saldo warga Cengkareng Rp 29 juta yang hilang usai ke ATM,Kontan,BBRI,BRI Bank returned a Cengkareng resident's balance of IDR 29 million which he lost after going to the ATM
89,2020-05-15,"“BRILian Fight Covid” Terkumpul Dana Rp 22,16 Miliar, BRI Salurkan Bantuan untuk Masyarakat Terkena Dampak",Bisnis,BBRI,"""BRILIAN Fight Covid"" Funds Collected IDR 22.16 Billion, BRI Distributes Aid to Affected Communities"
90,2020-05-19,"5 Berita Populer Market, Harga Emas 24 Karat Antam, 19 Mei 2020 dan Terbang 9,22 Persen, Ini Target Harga Saham Bank Rakyat Indonesia (BBRI)",Bisnis,BBRI,"5 Popular Market News, Antam's 24 Carat Gold Price, May 19 2020 and Flying 9.22 Percent, This is the Target Share Price of Bank Rakyat Indonesia (BBRI)"
91,2020-05-26,"Dari Pinjaman Digital Hingga Layanan Virtual Assistant, BRI Mudahkan Adaptasi Masyarakat Hadapi The New Normal",Bisnis,BBRI,"From digital loans to virtual assistant services, BRI makes it easier for people to adapt to the new normal"
92,2020-05-27,"Harga saham BBRI naik 1,61% (26 Mei 2020), cek PER dan PBV paling anyar",Kontan,BBRI,"BBRI share price rose 1.61% (26 May 2020), check the latest PER and PBV"
93,2020-05-28,"Ditaksir Rp52,4 Triliun, BRI Jadi Merek Perbankan Paling Tinggi di Indonesia",Bisnis,BBRI,"Estimated at IDR 52.4 Trillion, BRI is the Highest Banking Brand in Indonesia"
94,2020-06-05,"Keringanan Cicilan dari BRI, Program Terus Berjalan",Bisnis,BBRI,"Installment Relief from BRI, Program Continues"
95,2020-06-09,"Dalam 3 Bulan Bank BUMN Raup Laba Rp20,79 Triliun, BRI Tetap Terbesar",Bisnis,BBRI,"In 3 Months, State-Owned Banks Earned Profits of IDR 20.79 Trillion, BRI Still the Largest"
96,2020-06-09,"Sahamnya Hijau dan Diminati Asing, Begini Komentar Bank BRI (BBRI)",Bisnis,BBRI,"Its Stocks Are Green and Interested in Foreigners, Here's Bank BRI's (BBRI) Comment"
97,2020-06-16,"Aktivasi BRImo bisa online tanpa harus ke ATM, begini caranya",Kontan,BBRI,"You can activate BRImo online without having to go to an ATM, here's how"
98,2020-06-22,"Jamin Bebas Covid-19, Bank BRI Pekanbaru Kembali Dibuka",Bisnis,BBRI,"Guaranteed Covid-19 Free, BRI Pekanbaru Bank Reopens"
99,2020-06-24,BRI Agro Gandeng Capital Life Indonesia Pasarkan Asuransi Proteksi,Bisnis,BBRI,BRI Agro Partners with Capital Life Indonesia to Market Protection Insurance
100,2020-07-06,Kisah Pemasar Mikro BRI Yang Selektif Salurkan KUR di Tengah Pandemi,Bisnis,BBRI,The Story of BRI Micro Marketers Who Selectively Distribute KUR Amidst the Pandemic
101,2020-07-07,Biaya dana di Bank BRI alami tren penurunan,Kontan,BBRI,The cost of funds at BRI Bank is experiencing a downward trend
102,2020-07-07,"Jamin kredit UMKM, BRI teken kerjasama dengan Jamkrindo dan Askrindo",Kontan,BBRI,"Guaranteeing MSME credit, BRI signs cooperation with Jamkrindo and Askrindo"
103,2020-07-08,Merger Anak BUMN: Setinggi Apa Saham BRI Syariah (BRIS) Mampu Menjulang?,Bisnis,BBRI,BUMN Subsidiary Merger: How High Can BRI sharia Shares (BRIS) Rise?
104,2020-07-20,"IHSG Melemah, Asing Net Sell di Pasar Reguler, Jual BBRI Borong BBCA",Kontan,BBRI,"JCI Weakens, Foreigners Net Sell in Regular Market, Sell BBRI Buy Up BBCA"
105,2020-07-24,BRI Sinergikan Tiga Ekosistem untuk Akselerasi Digitalisasi UMKM,Kontan,BBRI,BRI Synergizes Three Ecosystems to Accelerate Digitalization of MSMEs
106,2020-07-27,"BRI Hapus Buku Kredit Rp5 Triliun, Apa Maksudnya?",Bisnis,BBRI,"BRI Writes Off IDR 5 Trillion Credit Book, What Does That Mean?"
107,2020-08-04,"Saham big cap: IHSG anjlok, CPIN terdepak, BBRI, HMSP, ASII turun terdalam",Kontan,BBRI,"Big cap stocks: JCI plunges, CPIN pushed out, BBRI, HMSP, ASII fall deepest"
108,2020-08-11,"Kurs Jual Beli Dolar AS di Bank Mandiri dan BRI, 11 Agustus 2020",Bisnis,BBRI,"US Dollar Buying and Selling Rates at Bank Mandiri and BRI, 11 August 2020"
109,2020-08-12,Pegadaian membuka outlet The Gade Coffee & Gold di Taman Sentra BRI,Kontan,BBRI,pawnshop opened The Gade Coffee & Gold outlet at Taman Sentra BRI
110,2020-08-19,"Laba Bank BRI (BBRI) turun 37,4% di semester I 2020, ini penyebabnya",Kontan,BBRI,"Bank BRI (BBRI) profits fell 37.4% in the first semester of 2020, this is the reason"
111,2020-08-19,"Membandingkan kinerja BBNI, BBRI dan BMRI",Kontan,BBRI,"Comparing the performance of BBNI, BBRI and BMRI"
112,2020-08-24,"Laba BRIS naik 229,7%, begini prospek sahamnya",Kontan,BBRI,"BRIS profit up 229.7%, here are the stock prospects"
113,2020-08-26,"Gandeng BRI, BFI Finance garap kredit kendaraan dengan limit fasilitas Rp 1 triliun",Kontan,BBRI,"Collaborating with BRI, BFI Finance to work on vehicle loans with a facility limit of IDR 1 trillion"
114,2020-08-27,"Pacu Kredit Kendaraan, BFI Finance Gandeng BRI untuk Dukung Pendanaan",Bisnis,BBRI,"Boosting Vehicle Credit, BFI Finance Partners with BRI to Support Funding"
115,2020-09-02,"Promo BRI, ada undian hadiah mobil Velfire, Rush, Calya, motor Scoopy dll",Kontan,BBRI,"BRI promo, there is a prize draw for Velfire, Rush, Calya cars, Scoopy motorbikes etc"
116,2020-09-07,"Lowongan kerja 2020 PT. ASABRI (Persero), buka hingga pertengahan September",Kontan,BBRI,"Job vacancies 2020 PT. ASABRI (Persero), open until mid-September"
117,2020-09-08,"Siapkan Program Cicilan Menarik, BRI Berikan Kemudahan Kepada Peserta JKN",Kontan,BBRI,"Prepare an Attractive Installment Program, BRI Provides Convenience to JKN Participants"
118,2020-09-10,"Kredit Bermasalah BRI Merangkak Naik, Tahun Ini Dijaga Maksimal 3 Persen",Bisnis,BBRI,"BRI's Non-Performing Loans Are Creeping Up, This Year They Are Maintained at a Maximum of 3 Percent"
119,2020-09-14,"IHSG Hari Ini Melompat 2,89%, Asing Borong BBRI, Lepas Saham BBCA dan ASII",Kontan,BBRI,"JCI Jumped 2.89% Today, Foreigners Buy Up BBRI, Divest BBCA and ASII Shares"
120,2020-09-16,BRI Paparkan Rencana untuk BRI Agro (AGRO) dan BRI Syariah (BRIS),Bisnis,BBRI,BRI Presents Plans for BRI Agro (AGRO) and BRI sharia (BRIS)
121,2020-09-19,Milenial Borong SR013 di BRI,Bisnis,BBRI,Millennials Buy SR013 at BRI
122,2020-09-23,"Ciptakan SDM Unggul dan Berdaya Saing Global, Bank BRI Hadirkan BRILSP",Bisnis,BBRI,"Creating Superior and Globally Competitive Human Resources, Bank BRI Presents BRILSP"
123,2020-09-27,BRI (BBRI) Jaga Margin Bunga Bersih Lewat Selektif Beri Kredit,Bisnis,BBRI,BRI (BBRI) Maintains Net Interest Margin Through Selective Lending
124,2020-09-28,"BRI Akselerasi Pelaku Usaha UMKM Muda, Lewat Pengusaha Muda Brilian",Bisnis,BBRI,"BRI Accelerates Young MSME Entrepreneurs, Through Brilliant Young Entrepreneurs"
125,2020-10-01,"Jaga Sungai Jaga Kehidupan, BRI Kembalikan Sungai Sebagai Penyangga Kehidupan",Bisnis,BBRI,"Protect the River Protect Life, BRI Restores the River as a Support for Life"
126,2020-10-05,Mau Ajukan Pinjaman ke BRI? Intip Dulu Bunga Dasar Kreditnya,Bisnis,BBRI,Want to apply for a loan from BRI? Take a look at the basic credit interest first
127,2020-10-06,"Raih Dana PEN Tahap 2, Ini Strategi Penyaluran Kredit BRI",CNBC Indonesia,BBRI,"Obtain Stage 2 PEN Funds, This is BRI's Credit Distribution Strategy"
128,2020-10-06,"Selamatkan Ekonomi RI, BRI Restruktrisasi Kredit Rp 190 T",CNBC Indonesia,BBRI,"Saving the Republic of Indonesia's Economy, BRI Restructures Credit IDR 190 T"
129,2020-10-09,Lupa username atau password internet banking BRI? Ini yang harus dilakukan,Kontan,BBRI,Forgot your BRI internet banking username or password? This is what must be done
130,2020-10-12,"Harga Rp 278 juta, lelang rumah sitaan BRI Agroniaga ini berlokasi di Depok",Kontan,BBRI,"Priced at IDR 278 million, the auction for this BRI Agroniaga confiscated house is located in Depok"
131,2020-10-13,"BRISyariah, BSM & BNI Syariah Merger! Begini Tahapannya",CNBC Indonesia,BBRI,"BRISyariah, BSM & BNI sharia Merger! Here are the stages"
132,2020-10-13,Resmi! Danareksa Sekuritas Jadi BRI Danareksa Sekuritas,CNBC Indonesia,BBRI,Official! mutual funds securities Becomes BRI mutual funds securities
133,2020-10-13,Harga Wajar Saham BRI Syariah (BRIS) Pasca Mega Merger Bank Syariah BUMN,Kontan,BBRI,Fair Price of BRI sharia (BRIS) Shares After the Mega Merger of BUMN Sharia Banks
134,2020-10-13,"BRI, BMRI & BNI Jadi Pemegang Saham Bank Syariah Terbesar RI",CNBC Indonesia,BBRI,"BRI, BMRI & BNI Become RI's Largest Sharia Bank Shareholders"
135,2020-10-13,Danareksa Sekuritas Bersalin Nama Jadi BRI Danareksa Sekuritas,Bisnis,BBRI,mutual funds securities changed its name to BRI mutual funds securities
136,2020-10-16,Bank BRI himpun dana murah Rp 11 triliun lewat agen BRILink,Kontan,BBRI,BRI Bank collects cheap funds of IDR 11 trillion through BRILink agents
137,2020-10-16,"Siap-siap! Jelang Merger, BRISyariah Mau Rombak Pengurus",CNBC Indonesia,BBRI,"Get ready! Ahead of the Merger, BRISyariah Wants to Change Management"
138,2020-10-19,"Orang Sabar Cuannya Lebar, Ini Prospek Saham BBRI-BRIS-AGRO",CNBC Indonesia,BBRI,"Patient people have big profits, this is the prospect of BBRI-BRIS-AGRO shares"
139,2020-10-19,"Minat Investasi ORI Naik, BRI Maksimalkan Penjualan Digital",CNBC Indonesia,BBRI,"ORI Investment Interest Increases, BRI Maximizes Digital Sales"
140,2020-10-20,"Kolaborasi Bareng Pegadaian, BRI Dansek Genjot Gadai Efek",CNBC Indonesia,BBRI,"Collaboration with Pegadaian, BRI Dansek Boosts Securities Pawning"
141,2020-10-21,"BRI vs Mandiri, Siapa Jawara Aset Pascamerger Bank Syariah?",CNBC Indonesia,BBRI,"BRI vs Mandiri, Who is the Champion of Sharia Bank Post-merger Assets?"
142,2020-10-21,Sederet Siasat Bos BRI Insurance Lalui Badai Pandemi Covid-19,CNBC Indonesia,BBRI,A Series of Strategies by BRI Insurance Boss to Get Through the Covid-19 Pandemic Storm
143,2020-10-21,"Cara Daftar UMKM Online, Cek Bantuan Rp 2,4 Juta di eForm BRI",CNBC Indonesia,BBRI,"How to Register for MSMEs Online, Check for Rp. 2.4 Million in Assistance on the BRI eForm"
144,2020-10-21,"Cara Daftar UMKM Online & Cek Banpres Rp2,4 Juta di Eform.BRI",CNBC Indonesia,BBRI,How to Register for UMKM Online & Check Banpres IDR 2.4 Million at Eform.BRI
145,2020-10-25,Bos BRI: Penyaluran Stimulus dan Bantuan ke Masyarakat Terkendala Akurasi Data,Bisnis,BBRI,BRI Boss: Distribution of Stimulus and Assistance to the Community is Constrained by Data Accuracy
146,2020-10-26,Saran BRI Prioritas Bagi Pengelolaan Investasi Kala Pandemi,CNBC Indonesia,BBRI,BRI Priority Suggestions for Investment Management During the Pandemic
147,2020-10-26,"Pangling, BRI Sulap Sungai Kalisari Semarang Jadi Bersih",CNBC Indonesia,BBRI,"Pangling, BRI Turns Semarang's Kalisari River Clean"
148,2020-10-28,"Long Weekend, Layanan BRI, Mandiri, BTN & BCA Tetap Buka",CNBC Indonesia,BBRI,"Long Weekend, BRI, Mandiri, BTN & BCA Services Remain Open"
149,2020-10-28,"BRI Tiba-tiba Audit Laporan Keuangan di Kuartal III, Ada Apa?",CNBC Indonesia,BBRI,"BRI Suddenly Audits Financial Reports in the Third Quarter, What's the Matter?"
150,2020-10-29,BRI Prioritas: Pentingnya Perkuat Dana Darurat & Kelola Utang,CNBC Indonesia,BBRI,BRI Prioritas: The Importance of Strengthening Emergency Funds & Managing Debt
151,2020-10-29,Ini Strategi Baru BRI Tingkatkan Literasi Keuangan UMKM,CNBC Indonesia,BBRI,This is BRI's new strategy to increase the financial literacy of MSMEs
152,2020-10-30,Konkret! Ini Sederet Langkah BRI dalam Pulihkan UMKM,CNBC Indonesia,BBRI,Concrete! This is a series of steps taken by BRI to restore MSMEs
